movieId,title,isAdult,year,runtime,genres,imdbRating,imdbVotes
41,Richard III,0,1995,110,"['Drama', 'Sci-Fi', 'War']",7.3,15578
42,Dead Presidents,0,1995,119,"['Action', 'Crime', 'Drama']",6.9,24495
43,Restoration,0,1995,117,"['Biography', 'Drama', 'History']",6.6,9923
44,Mortal Kombat,0,1995,101,"['Action', 'Adventure', 'Fantasy']",5.8,124679
45,To Die For,0,1995,106,"['Comedy', 'Crime', 'Drama']",6.8,53052
46,How to Make an American Quilt,0,1995,117,"['Comedy', 'Drama', 'Romance']",6.3,12507
47,Se7en,0,1995,127,"['Crime', 'Drama', 'Mystery']",8.6,1800420
48,Pocahontas,0,1995,81,"['Adventure', 'Animation', 'Drama']",6.7,203144
50,The Usual Suspects,0,1995,106,"['Crime', 'Drama', 'Mystery']",8.5,1146160
52,Mighty Aphrodite,0,1995,95,"['Comedy', 'Fantasy', 'Romance']",7.0,42831
57,Home for the Holidays,0,1995,103,"['Comedy', 'Drama', 'Romance']",6.6,14565
58,The Postman,0,1994,108,"['Biography', 'Comedy', 'Drama']",7.8,39015
60,The Indian in the Cupboard,0,1995,96,"['Drama', 'Family', 'Fantasy']",6.0,31061
61,Eye for an Eye,0,1996,101,"['Crime', 'Drama', 'Thriller']",6.2,18942
62,Mr. Holland's Opus,0,1995,143,"['Drama', 'Music']",7.3,41725
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,1996,89,"['Comedy', 'Crime']",6.5,61553
64,Two If by Sea,0,1996,96,"['Comedy', 'Crime', 'Romance']",5.3,6381
65,Bio-Dome,0,1996,88,['Comedy'],4.4,29765
66,Lawnmower Man 2: Beyond Cyberspace,0,1995,93,"['Action', 'Sci-Fi', 'Thriller']",2.6,10301
68,French Twist,0,1995,104,"['Comedy', 'Drama', 'Romance']",6.4,5365
69,Friday,0,1995,91,"['Comedy', 'Drama']",7.2,124662
70,From Dusk Till Dawn,0,1996,108,"['Action', 'Crime', 'Horror']",7.2,340847
71,Fair Game,0,1995,91,"['Action', 'Romance', 'Thriller']",4.4,13847
72,Kicking and Screaming,0,1995,96,"['Comedy', 'Drama', 'Romance']",6.7,15195
73,Les Misérables,0,1995,175,"['Drama', 'History']",7.5,4008
74,Bed of Roses,0,1996,87,"['Drama', 'Romance']",6.1,8774
75,Big Bully,0,1996,90,"['Comedy', 'Thriller']",4.8,5561
76,Screamers,0,1995,108,"['Horror', 'Sci-Fi', 'Thriller']",6.3,29473
79,The Juror,0,1996,118,"['Crime', 'Drama', 'Thriller']",5.7,19963
81,Things to Do in Denver When You're Dead,0,1995,115,"['Crime', 'Drama', 'Thriller']",6.7,29809
82,Antonia's Line,0,1995,102,"['Comedy', 'Drama']",7.4,9480
85,Angels and Insects,0,1995,116,"['Drama', 'Romance']",6.8,4843
86,White Squall,0,1996,129,"['Adventure', 'Drama']",6.6,25467
87,Dunston Checks In,0,1996,88,"['Adventure', 'Comedy', 'Family']",5.3,13411
88,Black Sheep,0,1996,87,['Comedy'],6.2,43713
89,Nick of Time,0,1995,90,"['Action', 'Crime', 'Drama']",6.3,45182
92,Mary Reilly,0,1996,108,"['Drama', 'Horror', 'Romance']",5.8,15824
93,Vampire in Brooklyn,0,1995,100,"['Comedy', 'Fantasy', 'Horror']",4.6,25115
94,Beautiful Girls,0,1996,112,"['Comedy', 'Drama', 'Romance']",7.1,34748
95,Broken Arrow,0,1996,108,"['Action', 'Adventure', 'Thriller']",6.1,105278
97,La haine,0,1995,98,"['Crime', 'Drama']",8.1,196668
100,City Hall,0,1996,111,"['Crime', 'Drama', 'Mystery']",6.2,22462
101,Bottle Rocket,0,1996,91,"['Comedy', 'Crime', 'Drama']",6.9,83547
102,Mr. Wrong,0,1996,96,['Comedy'],3.8,5370
104,Happy Gilmore,0,1996,92,"['Comedy', 'Sport']",7.0,248782
105,The Bridges of Madison County,0,1995,135,"['Drama', 'Romance']",7.6,88971
107,Muppet Treasure Island,0,1996,99,"['Action', 'Adventure', 'Comedy']",6.9,26575
110,Braveheart,0,1995,178,"['Biography', 'Drama', 'War']",8.3,1091904
111,Taxi Driver,0,1976,114,"['Crime', 'Drama']",8.2,921420
112,Rumble in the Bronx,0,1995,87,"['Action', 'Comedy', 'Crime']",6.7,46027
116,Anne Frank Remembered,0,1995,117,"['Biography', 'Documentary', 'War']",8.1,1350
122,Boomerang,0,1992,117,"['Comedy', 'Drama', 'Romance']",5.6,31395
125,Flirting with Disaster,0,1996,92,['Comedy'],6.7,20000
126,The NeverEnding Story III,0,1994,95,"['Adventure', 'Comedy', 'Family']",3.2,12452
132,Jade,0,1995,95,"['Crime', 'Drama', 'Thriller']",5.3,14257
135,Down Periscope,0,1996,92,['Comedy'],6.2,26703
140,Up Close & Personal,0,1996,124,"['Drama', 'Romance']",6.1,15334
141,The Birdcage,0,1996,117,['Comedy'],7.2,100721
144,The Brothers McMullen,0,1995,98,"['Comedy', 'Drama', 'Romance']",6.6,8190
145,Bad Boys,0,1995,119,"['Action', 'Comedy', 'Crime']",6.8,286629
147,The Basketball Diaries,0,1995,102,"['Biography', 'Crime', 'Drama']",7.3,121104
150,Apollo 13,0,1995,140,"['Adventure', 'Drama', 'History']",7.7,315811
151,Rob Roy,0,1995,139,"['Adventure', 'Biography', 'Drama']",6.9,45706
153,Batman Forever,0,1995,121,"['Action', 'Adventure']",5.4,266684
154,Belle de Jour,0,1967,100,"['Drama', 'Romance']",7.6,49086
155,Beyond Rangoon,0,1995,100,"['Action', 'Adventure', 'Drama']",6.5,5452
157,Canadian Bacon,0,1995,91,"['Action', 'Comedy']",5.9,17994
158,Casper,0,1995,100,"['Comedy', 'Family', 'Fantasy']",6.2,146902
159,Clockers,0,1995,128,"['Crime', 'Drama', 'Mystery']",6.9,23543
160,Congo,0,1995,109,"['Action', 'Adventure', 'Mystery']",5.3,48693
161,Crimson Tide,0,1995,116,"['Action', 'Drama', 'Thriller']",7.3,123408
162,Crumb,0,1994,119,"['Biography', 'Comedy', 'Documentary']",8.0,21603
163,Desperado,0,1995,104,"['Action', 'Crime', 'Drama']",7.1,197744
164,Devil in a Blue Dress,0,1995,102,"['Crime', 'Drama', 'Mystery']",6.8,24268
165,Die Hard with a Vengeance,0,1995,128,"['Action', 'Adventure', 'Thriller']",7.6,408360
168,First Knight,0,1995,134,"['Action', 'Adventure', 'Drama']",6.0,78735
169,Free Willy 2: The Adventure Home,0,1995,95,"['Adventure', 'Drama', 'Family']",5.1,19587
170,Hackers,0,1995,105,"['Crime', 'Drama', 'Romance']",6.2,74909
171,Jeffrey,0,1995,92,"['Comedy', 'Drama']",6.8,6773
172,Johnny Mnemonic,0,1995,96,"['Action', 'Drama', 'Sci-Fi']",5.6,76226
173,Judge Dredd,0,1995,96,"['Action', 'Crime', 'Sci-Fi']",5.6,124986
174,Jury Duty,0,1995,88,['Comedy'],4.3,8783
175,Kids,0,1995,91,['Drama'],7.0,84685
176,Living in Oblivion,0,1995,90,"['Comedy', 'Drama']",7.5,20171
177,Lord of Illusions,0,1995,109,"['Horror', 'Mystery', 'Thriller']",6.0,19283
180,Mallrats,0,1995,94,"['Comedy', 'Romance']",7.0,128907
181,Mighty Morphin Power Rangers,0,1995,95,"['Action', 'Adventure', 'Family']",5.3,30009
185,The Net,0,1995,114,"['Action', 'Crime', 'Drama']",6.0,73855
186,Nine Months,0,1995,103,"['Comedy', 'Romance']",5.5,38617
188,The Prophecy,0,1995,98,"['Action', 'Crime', 'Drama']",6.4,33374
190,Safe,0,1995,119,['Drama'],7.1,17251
191,The Scarlet Letter,0,1995,135,"['Drama', 'Romance']",5.3,16302
193,Showgirls,0,1995,128,['Drama'],5.1,74697
194,Smoke,0,1995,112,"['Comedy', 'Drama']",7.4,38159
195,Something to Talk About,0,1995,106,"['Comedy', 'Drama', 'Romance']",5.7,15841
196,Species,0,1995,108,"['Action', 'Horror', 'Sci-Fi']",5.9,85305
198,Strange Days,0,1995,145,"['Crime', 'Drama', 'Sci-Fi']",7.2,78461
203,"To Wong Foo, Thanks for Everything! Julie Newmar",0,1995,109,"['Comedy', 'Drama']",6.7,36591
204,Under Siege 2: Dark Territory,0,1995,100,"['Action', 'Adventure', 'Thriller']",5.5,50168
205,Unstrung Heroes,0,1995,93,"['Comedy', 'Drama']",6.7,3270
207,A Walk in the Clouds,0,1995,102,"['Drama', 'Romance']",6.7,36627
208,Waterworld,0,1995,135,"['Action', 'Adventure', 'Sci-Fi']",6.3,210052
213,Burnt by the Sun,0,1994,135,"['Drama', 'War']",7.8,16353
215,Before Sunrise,0,1995,101,"['Drama', 'Romance']",8.1,339611
216,Billy Madison,0,1995,89,['Comedy'],6.3,156700
217,The Babysitter,0,1995,90,"['Drama', 'Thriller']",4.3,6013
218,Boys on the Side,0,1995,115,"['Comedy', 'Drama']",6.5,14160
222,Circle of Friends,0,1995,103,"['Drama', 'Romance']",6.6,9238
223,Clerks,0,1994,92,['Comedy'],7.7,232428
224,Don Juan DeMarco,0,1994,97,"['Comedy', 'Drama', 'Romance']",6.7,53332
225,Disclosure,0,1994,128,"['Drama', 'Thriller']",6.2,54444
227,Drop Zone,0,1994,101,"['Action', 'Adventure', 'Thriller']",5.6,21575
229,Death and the Maiden,0,1994,103,"['Drama', 'Mystery', 'Thriller']",7.2,26832
230,Dolores Claiborne,0,1995,132,"['Crime', 'Drama', 'Mystery']",7.4,48426
231,Dumb and Dumber,0,1994,107,['Comedy'],7.3,412535
232,Eat Drink Man Woman,0,1994,124,"['Comedy', 'Drama', 'Romance']",7.8,23214
233,Exotica,0,1994,103,['Drama'],7.0,21106
234,Exit to Eden,0,1994,113,"['Comedy', 'Crime', 'Romance']",4.2,7340
235,Ed Wood,0,1994,127,"['Biography', 'Comedy', 'Drama']",7.8,184038
236,French Kiss,0,1995,111,"['Comedy', 'Drama', 'Romance']",6.6,53058
237,Forget Paris,0,1995,101,"['Comedy', 'Romance']",6.5,13070
239,A Goofy Movie,0,1995,78,"['Adventure', 'Animation', 'Comedy']",6.9,62773
242,Farinelli,0,1994,111,"['Biography', 'Drama', 'Music']",6.8,7356
246,Hoop Dreams,0,1994,170,"['Documentary', 'Drama', 'Sport']",8.3,28029
247,Heavenly Creatures,0,1994,99,"['Biography', 'Crime', 'Drama']",7.3,67430
248,Houseguest,0,1995,113,['Comedy'],5.9,7495
249,Immortal Beloved,0,1994,121,"['Biography', 'Drama', 'Music']",7.4,26221
250,Heavyweights,0,1995,97,"['Comedy', 'Drama', 'Family']",6.6,30679
252,I.Q.,0,1994,100,"['Comedy', 'Romance']",6.2,26641
253,Interview with the Vampire: The Vampire Chronicles,0,1994,123,"['Drama', 'Fantasy', 'Horror']",7.5,347702
255,The Jerky Boys,0,1995,82,"['Comedy', 'Crime']",4.7,2806
256,Junior,0,1994,109,"['Comedy', 'Romance', 'Sci-Fi']",4.7,73025
257,Just Cause,0,1995,102,"['Action', 'Crime', 'Drama']",6.4,29503
258,A Kid in King Arthur's Court,0,1995,89,"['Adventure', 'Comedy', 'Family']",4.7,6797
259,Kiss of Death,0,1995,101,"['Crime', 'Drama', 'Thriller']",5.9,20245
260,Star Wars: Episode IV - A New Hope,0,1977,121,"['Action', 'Adventure', 'Fantasy']",8.6,1450648
261,Little Women,0,1994,115,"['Drama', 'Family', 'Romance']",7.3,63624
262,A Little Princess,0,1995,97,"['Drama', 'Family', 'Fantasy']",7.6,36725
265,Like Water for Chocolate,0,1992,105,"['Drama', 'Romance']",7.1,18854
266,Legends of the Fall,0,1994,133,"['Drama', 'Romance', 'War']",7.5,183221
267,Major Payne,0,1995,95,"['Adventure', 'Comedy', 'Family']",6.3,39039
270,Love Affair,0,1994,108,"['Comedy', 'Drama', 'Romance']",6.0,5112
272,The Madness of King George,0,1994,110,"['Biography', 'Comedy', 'Drama']",7.2,18413
273,Frankenstein,0,1994,123,"['Drama', 'Horror', 'Romance']",6.3,59363
274,Man of the House,0,1995,96,"['Comedy', 'Family']",5.2,10427
275,Mixed Nuts,0,1994,97,"['Comedy', 'Drama']",5.4,13528
276,Milk Money,0,1994,110,"['Comedy', 'Romance']",5.6,13084
277,Miracle on 34th Street,0,1994,114,"['Drama', 'Family', 'Fantasy']",6.6,43892
280,Murder in the First,0,1995,122,"['Drama', 'Thriller']",7.3,30691
281,Nobody's Fool,0,1994,110,"['Comedy', 'Drama']",7.3,22535
282,Nell,0,1994,112,['Drama'],6.5,30888
288,Natural Born Killers,0,1994,119,"['Action', 'Crime', 'Romance']",7.2,251919
289,Only You,0,1994,109,"['Comedy', 'Romance']",6.5,25699
290,Once Were Warriors,0,1994,102,"['Crime', 'Drama']",7.9,36864
292,Outbreak,0,1995,127,"['Action', 'Drama', 'Thriller']",6.6,137846
293,Léon: The Professional,0,1994,110,"['Action', 'Crime', 'Drama']",8.5,1246732
296,Pulp Fiction,0,1994,154,"['Crime', 'Drama']",8.9,2222024
300,Quiz Show,0,1994,133,"['Biography', 'Drama', 'History']",7.5,73366
302,Queen Margot,0,1994,161,"['Biography', 'Drama', 'History']",7.4,19004
303,The Quick and the Dead,0,1995,108,"['Action', 'Drama', 'Romance']",6.5,102927
305,Ready to Wear,0,1994,133,"['Comedy', 'Drama']",5.2,15897
306,Three Colors: Red,0,1994,99,"['Drama', 'Mystery', 'Romance']",8.1,110069
307,Three Colors: Blue,0,1993,94,"['Drama', 'Music', 'Mystery']",7.8,110567
308,Three Colors: White,0,1994,92,"['Comedy', 'Drama', 'Romance']",7.6,79669
312,Stuart Saves His Family,0,1995,95,"['Comedy', 'Drama']",5.3,2976
314,The Secret of Roan Inish,0,1994,103,"['Drama', 'Family', 'Fantasy']",7.4,9876
315,The Specialist,0,1994,110,"['Action', 'Drama', 'Thriller']",5.6,69805
316,Stargate,0,1994,116,"['Action', 'Adventure', 'Sci-Fi']",7.0,205201
317,The Santa Clause,0,1994,97,"['Comedy', 'Drama', 'Family']",6.6,133452
318,The Shawshank Redemption,0,1994,142,['Drama'],9.3,2890880
319,Shallow Grave,0,1994,89,"['Crime', 'Drama', 'Thriller']",7.3,66267
322,Swimming with Sharks,0,1994,93,"['Comedy', 'Crime']",7.0,25021
325,National Lampoon's Senior Trip,0,1995,91,"['Adventure', 'Comedy']",5.6,6325
327,Tank Girl,0,1995,104,"['Action', 'Comedy', 'Sci-Fi']",5.4,34792
328,Tales from the Crypt: Demon Knight,0,1995,92,"['Action', 'Fantasy', 'Horror']",6.7,26324
329,Star Trek: Generations,0,1994,118,"['Action', 'Adventure', 'Mystery']",6.6,87074
330,Tales from the Hood,0,1995,98,"['Crime', 'Drama', 'Horror']",6.5,9617
332,Village of the Damned,0,1995,98,"['Horror', 'Sci-Fi', 'Thriller']",5.6,34259
333,Tommy Boy,0,1995,97,"['Adventure', 'Comedy']",7.1,97361
334,Vanya on 42nd Street,0,1994,119,"['Comedy', 'Drama', 'Romance']",7.3,5161
337,What's Eating Gilbert Grape,0,1993,118,['Drama'],7.7,254207
338,Virtuosity,0,1995,106,"['Action', 'Crime', 'Sci-Fi']",5.5,32419
339,While You Were Sleeping,0,1995,103,"['Comedy', 'Drama', 'Romance']",6.8,114084
340,The War,0,1994,126,"['Drama', 'History', 'War']",6.7,13560
342,Muriel's Wedding,0,1994,106,"['Comedy', 'Drama']",7.2,41758
343,The Baby-Sitters Club,0,1995,94,"['Comedy', 'Drama', 'Family']",5.7,6212
344,Ace Ventura: Pet Detective,0,1994,86,['Comedy'],6.9,325310
345,"The Adventures of Priscilla, Queen of the Desert",0,1994,104,"['Comedy', 'Music']",7.5,55177
346,Backbeat,0,1994,100,"['Biography', 'Drama', 'Music']",6.6,6585
347,Bitter Moon,0,1992,139,"['Drama', 'Romance', 'Thriller']",7.2,42714
348,Bullets Over Broadway,0,1994,98,"['Comedy', 'Crime']",7.4,41813
349,Clear and Present Danger,0,1994,141,"['Action', 'Crime', 'Drama']",6.9,108010
350,The Client,0,1994,119,"['Crime', 'Drama', 'Mystery']",6.7,73729
351,"Corrina, Corrina",0,1994,115,"['Comedy', 'Drama', 'Romance']",6.6,14176
353,The Crow,0,1994,102,"['Action', 'Crime', 'Drama']",7.5,203396
354,Cobb,0,1994,128,"['Biography', 'Drama', 'Sport']",6.4,8155
355,The Flintstones,0,1994,91,"['Comedy', 'Family', 'Fantasy']",5.0,86576
356,Forrest Gump,0,1994,142,"['Drama', 'Romance']",8.8,2258912
357,Four Weddings and a Funeral,0,1994,117,"['Comedy', 'Drama', 'Romance']",7.1,166260
358,Higher Learning,0,1995,128,"['Crime', 'Drama', 'Thriller']",6.5,21561
360,I Love Trouble,0,1994,123,"['Action', 'Comedy', 'Romance']",5.3,12587
361,It Could Happen to You,0,1994,101,"['Comedy', 'Drama', 'Romance']",6.4,44679
362,The Jungle Book,0,1994,111,"['Adventure', 'Family', 'Romance']",6.0,18949
364,The Lion King,0,1994,88,"['Adventure', 'Animation', 'Drama']",8.5,1143162
366,New Nightmare,0,1994,112,"['Fantasy', 'Horror', 'Mystery']",6.4,64233
367,The Mask,0,1994,101,"['Action', 'Comedy', 'Crime']",6.9,421167
368,Maverick,0,1994,127,"['Action', 'Adventure', 'Comedy']",7.0,119118
370,Naked Gun 33 1/3: The Final Insult,0,1994,83,"['Comedy', 'Crime']",6.5,111955
371,The Paper,0,1994,112,"['Comedy', 'Drama']",6.7,15112
372,Reality Bites,0,1994,99,"['Comedy', 'Drama', 'Romance']",6.6,53665
373,Red Rock West,0,1993,98,"['Crime', 'Drama', 'Thriller']",7.0,25230
374,Richie Rich,0,1994,95,"['Comedy', 'Family']",5.4,73614
376,The River Wild,0,1994,111,"['Adventure', 'Crime', 'Thriller']",6.5,50223
377,Speed,0,1994,116,"['Action', 'Adventure', 'Thriller']",7.3,392177
378,Speechless,0,1994,99,"['Comedy', 'Romance']",5.8,5427
379,Timecop,0,1994,99,"['Action', 'Crime', 'Sci-Fi']",5.9,64227
380,True Lies,0,1994,141,"['Action', 'Comedy', 'Thriller']",7.3,281156
381,When a Man Loves a Woman,0,1994,126,"['Drama', 'Romance']",6.5,23585
382,Wolf,0,1994,125,"['Drama', 'Horror', 'Romance']",6.3,60343
383,Wyatt Earp,0,1994,191,"['Action', 'Adventure', 'Biography']",6.7,54972
390,"Faster, Pussycat! Kill! Kill!",0,1965,83,"['Action', 'Comedy']",6.6,16133
393,Street Fighter,0,1994,102,"['Action', 'Adventure', 'Comedy']",4.1,75331
405,Highlander: The Final Dimension,0,1994,99,"['Action', 'Fantasy', 'Romance']",4.4,22130
407,In the Mouth of Madness,0,1994,95,"['Drama', 'Fantasy', 'Horror']",7.1,79391
410,Addams Family Values,0,1993,94,"['Comedy', 'Fantasy']",6.8,109688
412,The Age of Innocence,0,1993,139,"['Drama', 'Romance']",7.2,67846
413,Airheads,0,1994,92,"['Comedy', 'Crime', 'Music']",6.2,56418
414,The Air Up There,0,1994,107,"['Comedy', 'Family', 'Sport']",5.6,9498
415,Another Stakeout,0,1993,108,"['Comedy', 'Crime']",5.6,15398
416,Bad Girls,0,1994,99,"['Action', 'Adventure', 'Drama']",5.2,13556
417,Barcelona,0,1994,101,"['Comedy', 'Drama', 'Romance']",7.0,6657
419,The Beverly Hillbillies,0,1993,92,"['Comedy', 'Family']",5.0,19828
420,Beverly Hills Cop III,0,1994,104,"['Action', 'Comedy', 'Crime']",5.5,87662
421,Black Beauty,0,1994,88,"['Adventure', 'Drama', 'Family']",6.6,10677
422,Blink,0,1993,106,"['Crime', 'Drama', 'Mystery']",6.2,9142
423,Blown Away,0,1994,121,"['Action', 'Crime', 'Drama']",6.2,33707
426,Body Snatchers,0,1993,87,"['Horror', 'Sci-Fi']",6.0,21264
427,Boxing Helena,0,1993,107,"['Drama', 'Mystery', 'Romance']",4.7,13116
428,A Bronx Tale,0,1993,121,"['Crime', 'Drama']",7.8,161311
429,Cabin Boy,0,1994,80,"['Adventure', 'Comedy', 'Romance']",5.3,9186
431,Carlito's Way,0,1993,144,"['Crime', 'Drama', 'Thriller']",7.9,232497
432,City Slickers II: The Legend of Curly's Gold,0,1994,116,"['Comedy', 'Western']",5.6,20773
433,Clean Slate,0,1994,107,"['Comedy', 'Mystery']",5.7,4177
434,Cliffhanger,0,1993,113,"['Action', 'Adventure', 'Thriller']",6.5,140026
435,Coneheads,0,1993,88,"['Comedy', 'Sci-Fi']",5.4,58017
436,Color of Night,0,1994,121,"['Drama', 'Mystery', 'Romance']",5.2,25761
437,Cops and Robbersons,0,1994,93,"['Comedy', 'Crime', 'Thriller']",5.2,7491
438,The Cowboy Way,0,1994,102,"['Action', 'Comedy', 'Crime']",5.9,9024
440,Dave,0,1993,110,"['Comedy', 'Romance']",6.9,56876
441,Dazed and Confused,0,1993,103,['Comedy'],7.6,199783
442,Demolition Man,0,1993,115,"['Action', 'Sci-Fi', 'Thriller']",6.7,193478
444,Even Cowgirls Get the Blues,0,1993,106,"['Comedy', 'Drama', 'Romance']",4.3,7828
445,Fatal Instinct,0,1993,91,"['Comedy', 'Crime', 'Thriller']",5.7,8092
446,Farewell My Concubine,0,1993,171,"['Drama', 'Music', 'Romance']",8.1,33188
448,Fearless,0,1993,122,"['Drama', 'Thriller']",7.1,24569
450,With Honors,0,1994,101,"['Comedy', 'Drama']",6.7,15917
453,For Love or Money,0,1993,96,"['Comedy', 'Drama', 'Romance']",6.2,15439
454,The Firm,0,1993,154,"['Drama', 'Mystery', 'Thriller']",6.9,147791
455,Free Willy,0,1993,112,"['Adventure', 'Drama', 'Family']",6.0,83027
457,The Fugitive,0,1993,130,"['Action', 'Crime', 'Drama']",7.8,318896
458,Geronimo: An American Legend,0,1993,115,"['Drama', 'History', 'Western']",6.5,13499
459,The Getaway,0,1994,115,"['Action', 'Adventure', 'Crime']",5.8,19665
464,Hard Target,0,1993,97,"['Action', 'Crime', 'Thriller']",6.2,56310
466,Hot Shots! Part Deux,0,1993,86,"['Action', 'Comedy']",6.6,97439
468,The Englishman Who Went Up a Hill But Came Down a Mountain,0,1995,99,"['Comedy', 'Drama', 'Romance']",6.6,18708
469,The House of the Spirits,0,1993,145,"['Drama', 'Romance']",6.9,24970
471,The Hudsucker Proxy,0,1994,111,"['Comedy', 'Drama', 'Fantasy']",7.2,85108
472,I'll Do Anything,0,1994,115,"['Comedy', 'Drama']",5.5,2870
473,In the Army Now,0,1994,91,"['Comedy', 'War']",4.9,14694
474,In the Line of Fire,0,1993,128,"['Action', 'Crime', 'Drama']",7.2,113811
475,In the Name of the Father,0,1993,133,"['Biography', 'Crime', 'Drama']",8.1,187209
477,What's Love Got to Do with It,0,1993,118,"['Biography', 'Drama', 'Music']",7.3,24599
480,Jurassic Park,0,1993,127,"['Action', 'Adventure', 'Sci-Fi']",8.2,1067915
481,Kalifornia,0,1993,117,"['Crime', 'Drama', 'Thriller']",6.7,58259
482,Killing Zoe,0,1993,96,"['Crime', 'Thriller']",6.4,21422
485,Last Action Hero,0,1993,130,"['Action', 'Adventure', 'Comedy']",6.5,163947
489,Made in America,0,1993,111,['Comedy'],5.1,17819
490,Malice,0,1993,107,"['Crime', 'Mystery', 'Thriller']",6.5,27397
491,The Man Without a Face,0,1993,115,['Drama'],6.7,31011
492,Manhattan Murder Mystery,0,1993,104,"['Comedy', 'Mystery']",7.3,46846
493,Menace II Society,0,1993,97,"['Crime', 'Drama', 'Thriller']",7.5,64503
494,Executive Decision,0,1996,133,"['Action', 'Adventure', 'Thriller']",6.5,61611
497,Much Ado About Nothing,0,1993,111,"['Comedy', 'Drama', 'Romance']",7.3,52031
500,Mrs. Doubtfire,0,1993,125,"['Comedy', 'Drama']",7.1,291194
501,Naked,0,1993,131,"['Comedy', 'Drama']",7.7,43976
502,The Next Karate Kid,0,1994,107,"['Action', 'Drama', 'Family']",4.5,33808
505,North,0,1994,87,"['Adventure', 'Comedy', 'Drama']",4.5,14760
507,A Perfect World,0,1993,138,"['Crime', 'Drama', 'Thriller']",7.5,86976
508,Philadelphia,0,1993,125,['Drama'],7.7,258224
509,The Piano,0,1993,121,"['Drama', 'Music', 'Romance']",7.5,95218
514,The Ref,0,1994,97,"['Comedy', 'Crime', 'Drama']",6.9,26555
515,The Remains of the Day,0,1993,134,"['Drama', 'Romance']",7.8,84512
516,Renaissance Man,0,1994,128,"['Comedy', 'Drama']",6.2,19057
517,Rising Sun,0,1993,129,"['Action', 'Crime', 'Drama']",6.2,48280
519,RoboCop 3,0,1993,104,"['Action', 'Crime', 'Sci-Fi']",4.2,54396
520,Robin Hood: Men in Tights,0,1993,104,"['Adventure', 'Comedy', 'Musical']",6.7,136944
522,Romper Stomper,0,1992,94,"['Crime', 'Drama', 'Thriller']",6.8,41624
524,Rudy,0,1993,114,"['Biography', 'Drama', 'Sport']",7.5,69117
527,Schindler's List,0,1993,195,"['Biography', 'Drama', 'History']",9.0,1451836
529,Searching for Bobby Fischer,0,1993,109,"['Biography', 'Drama', 'Sport']",7.4,42421
531,The Secret Garden,0,1993,101,"['Drama', 'Family', 'Fantasy']",7.3,44505
